0,0,ASUNCIÓN,ASUNCIÓN,0
1,10,CONCEPCIÓN,CONCEPCIÓN,110
1,2,CONCEPCIÓN,BELÉN,102
1,3,CONCEPCIÓN,HORQUETA,103
1,4,CONCEPCIÓN,LORETO,104
1,5,CONCEPCIÓN,SAN CARLOS DEL APA,105
1,6,CONCEPCIÓN,SAN LÁZARO,106
1,7,CONCEPCIÓN,YBY YAÚ,107
1,8,CONCEPCIÓN,AZOTE'Y,108
1,9,CONCEPCIÓN,SARGENTO JOSÉ FÉLIX LÓPEZ,109
2,1,SAN PEDRO,SAN PEDRO DEL YCUAMANDYYÚ,201
2,2,SAN PEDRO,ANTEQUERA,202
2,3,SAN PEDRO,CHORÉ,203
2,4,SAN PEDRO,GENERAL ELIZARDO AQUINO,204
2,5,SAN PEDRO,ITACURUBÍ DEL ROSARIO,205
2,6,SAN PEDRO,LIMA,206
2,7,SAN PEDRO,NUEVA GERMANIA,207
2,8,SAN PEDRO,SAN ESTANISLAO,208
2,9,SAN PEDRO,SAN PABLO,209
2,10,SAN PEDRO,TACUATÍ,210
2,11,SAN PEDRO,UNIÓN,211
2,12,SAN PEDRO,25 DE DICIEMBRE,212
2,13,SAN PEDRO,VILLA DEL ROSARIO,213
2,14,SAN PEDRO,GENERAL FRANCISCO ISIDORO RESQUÍN,214
2,15,SAN PEDRO,YATAITY DEL NORTE,215
2,16,SAN PEDRO,GUAJAYVI,216
2,17,SAN PEDRO,CAPIIBARY,217
2,18,SAN PEDRO,SANTA ROSA DEL AGUARAY,218
2,19,SAN PEDRO,YRYBUCUA,219
2,20,SAN PEDRO,LIBERACIÓN,220
3,1,CORDILLERA,CAACUPÉ,301
3,2,CORDILLERA,ALTOS,302
3,3,CORDILLERA,ARROYOS Y ESTEROS,303
3,4,CORDILLERA,ATYRÁ,304
3,5,CORDILLERA,CARAGUATAY,305
3,6,CORDILLERA,EMBOSCADA,306
3,7,CORDILLERA,EUSEBIO AYALA,307
3,8,CORDILLERA,ISLA PUCÚ,308
3,9,CORDILLERA,ITACURUBÍ DE LA CORDILLERA,309
3,10,CORDILLERA,JUAN DE MENA,310
3,11,CORDILLERA,LOMA GRANDE,311
3,12,CORDILLERA,MBOCAYATY DEL YHAGUY,312
3,13,CORDILLERA,NUEVA COLOMBIA,313
3,14,CORDILLERA,PIRIBEBUY,314
3,15,CORDILLERA,PRIMERO DE MARZO,315
3,16,CORDILLERA,SAN BERNARDINO,316
3,17,CORDILLERA,SANTA ELENA,317
3,18,CORDILLERA,TOBATÍ,318
3,19,CORDILLERA,VALENZUELA,319
3,20,CORDILLERA,SAN JOSE OBRERO,320
4,1,GUAIRÁ,VILLARRICA,401
4,2,GUAIRÁ,BORJA,402
4,3,GUAIRÁ,CAPITÁN MAURICIO JOSÉ TROCHE,403
4,4,GUAIRÁ,CORONEL MARTÍNEZ,404
4,5,GUAIRÁ,FÉLIX PÉREZ CARDOZO,405
4,6,GUAIRÁ,GRAL. EUGENIO A. GARAY,406
4,7,GUAIRÁ,INDEPENDENCIA,407
4,8,GUAIRÁ,ITAPÉ,408
4,9,GUAIRÁ,ITURBE,409
4,10,GUAIRÁ,JOSÉ FASSARDI,410
4,11,GUAIRÁ,MBOCAYATY,411
4,12,GUAIRÁ,NATALICIO TALAVERA,412
4,13,GUAIRÁ,ÑUMÍ,413
4,14,GUAIRÁ,SAN SALVADOR,414
4,15,GUAIRÁ,YATAITY,415
4,16,GUAIRÁ,DOCTOR BOTTRELL,416
4,17,GUAIRÁ,PASO YOBAI,417
4,18,GUAIRÁ,TEBICUARY,418
5,1,CAAGUAZÚ,CORONEL OVIEDO,501
5,2,CAAGUAZÚ,CAAGUAZÚ,502
5,3,CAAGUAZÚ,CARAYAÓ,503
5,4,CAAGUAZÚ,DR. CECILIO BÁEZ,504
5,5,CAAGUAZÚ,SANTA ROSA DEL MBUTUY,505
5,6,CAAGUAZÚ,DR. JUAN MANUEL FRUTOS,506
5,7,CAAGUAZÚ,REPATRIACIÓN,507
5,8,CAAGUAZÚ,NUEVA LONDRES,508
5,9,CAAGUAZÚ,SAN JOAQUÍN,509
5,10,CAAGUAZÚ,SAN JOSÉ DE LOS ARROYOS,510
5,11,CAAGUAZÚ,YHÚ,511
5,12,CAAGUAZÚ,DR. J. EULOGIO ESTIGARRIBIA,512
5,13,CAAGUAZÚ,R.I. 3 CORRALES,513
5,14,CAAGUAZÚ,RAÚL ARSENIO OVIEDO,514
5,15,CAAGUAZÚ,JOSÉ DOMINGO OCAMPOS,515
5,16,CAAGUAZÚ,MARISCAL FRANCISCO SOLANO LÓPEZ,516
5,17,CAAGUAZÚ,LA PASTORA,517
5,18,CAAGUAZÚ,3 DE FEBRERO,518
5,19,CAAGUAZÚ,SIMÓN BOLIVAR,519
5,20,CAAGUAZÚ,VAQUERÍA,520
5,21,CAAGUAZÚ,TEMBIAPORÁ,521
5,22,CAAGUAZÚ,NUEVA TOLEDO,522
6,1,CAAZAPÁ,CAAZAPÁ,601
6,2,CAAZAPÁ,ABAÍ,602
6,3,CAAZAPÁ,BUENA VISTA,603
6,4,CAAZAPÁ,DR. MOISÉS S. BERTONI,604
6,5,CAAZAPÁ,GRAL. HIGINIO MORÍNIGO,605
6,6,CAAZAPÁ,MACIEL,606
6,7,CAAZAPÁ,SAN JUAN NEPOMUCENO,607
6,8,CAAZAPÁ,TAVAÍ,608
6,9,CAAZAPÁ,YEGROS,609
6,10,CAAZAPÁ,YUTY,610
6,11,CAAZAPÁ,3 DE MAYO,611
7,1,ITAPÚA,ENCARNACIÓN,701
7,2,ITAPÚA,BELLA VISTA,702
7,3,ITAPÚA,CAMBYRETÁ,703
7,4,ITAPÚA,CAPITÁN MEZA,704
7,5,ITAPÚA,CAPITÁN MIRANDA,705
7,6,ITAPÚA,NUEVA ALBORADA,706
7,7,ITAPÚA,CARMEN DEL PARANÁ,707
10,1,ALTO PARANÁ,CIUDAD DEL ESTE,1001
